leaf_area_px,isolation,coverage,hue_mean,hue_std,sat_mean,sat_std,val_mean,val_std,lab_a_mean,lab_b_mean,lab_a_std,lab_b_std,hue_below_med_frac,hue_iqr,val_iqr,sat_iqr,dark_rel_30,dark_rel_50,dark_rel_70,desat_rel_40,lesion_n_k9_c25,lesion_dens_k9_c25,lesion_n_k9_c40,lesion_dens_k9_c40,lesion_n_k15_c25,lesion_dens_k15_c25,lesion_n_k15_c40,lesion_dens_k15_c40,lesion_n_k25_c25,lesion_dens_k25_c25,lesion_n_k25_c40,lesion_dens_k25_c40,lap_var,edge_density,solidity,perim_area_ratio,sample_id,image_name,annotated
79319,0.8295838432012383,0.4034372965494792,32.337459564208984,8.75340747833252,149.44085693359375,60.570552825927734,119.21511840820312,48.23192596435547,120.1356201171875,162.9263916015625,3.5297605991363525,19.588109970092773,0.004904247406043949,9.0,78.0,100.0,0.31440134141882775,0.17875918758431145,0.041541118773559926,0.2849506423429443,117,0.0691385418373908,84,0.03672512260618515,93,0.1165168496829259,107,0.09817319935954816,26,0.04819778363317742,69,0.12213971431813311,18340.96875,0.20386036132578575,0.6286722487128592,12.591389297932414,id12,20260328_101927_HDR.jpg,yes
72260,0.7599756000084138,0.3675333658854167,30.100553512573242,6.146087169647217,159.3925323486328,56.53537368774414,130.2565460205078,52.158512115478516,120.06532287597656,167.0851593017578,3.9332334995269775,19.759029388427734,0.008414060337669527,5.0,88.0,88.0,0.34267921394962636,0.2255189593135898,0.09875449764738445,0.2689731525048436,153,0.09002214226404649,111,0.04670633822308331,94,0.121076667589261,119,0.10572931082203155,27,0.048283974536396344,70,0.07967063382230834,20555.67578125,0.23725435925823415,0.6344610758547363,10.860646652701076,id12,20260328_101939_HDR.jpg,yes
103296,0.7720640994977278,0.525390625,44.74318313598633,19.019197463989258,146.37872314453125,50.85059356689453,106.74563598632812,36.80485534667969,113.78498840332031,153.02024841308594,6.568088054656982,13.848973274230957,0.23329073729863692,15.0,55.0,77.0,0.17079073729863692,0.033737995662949195,0.003126936183395291,0.23814087670384138,174,0.06382628562577447,102,0.0269807156133829,142,0.08801889714993805,130,0.07053516109045849,73,0.08466929987608426,106,0.08836741016109045,7211.00146484375,0.17393703531598512,0.7045079427410893,9.841224984820885,id13,20260328_102209.jpg,yes
108720,0.7852427521053924,0.552978515625,40.85636520385742,15.67987060546875,135.2280731201172,46.096126556396484,129.0981903076172,44.27003479003906,113.15071868896484,157.0283660888672,7.035444259643555,12.924745559692383,0.18216519499632083,11.0,68.0,72.0,0.262518395879323,0.12091611479028698,0.04126195732155997,0.23917402501839588,217,0.08586276674025019,186,0.061451434878587195,111,0.08969830757910228,187,0.1183682855040471,48,0.04772810890360559,101,0.0949963208241354,17685.474609375,0.21287711552612215,0.6450184603137568,12.464373278706848,id13,20260328_102214.jpg,yes
108317,0.7877886468598858,0.5509287516276041,37.132408142089844,12.389228820800781,137.90966796875,45.745487213134766,129.53115844726562,42.04930114746094,114.6725082397461,159.86593627929688,5.937595367431641,11.941553115844727,0.13851011383254705,10.0,65.0,70.0,0.2552692559801324,0.10732387344553486,0.035636142064495877,0.2282097916301227,238,0.0844558102606239,177,0.05051838584894338,132,0.1348449458533748,173,0.11332477819732821,67,0.06360959036900948,104,0.09454656240479334,13851.31640625,0.21072407839951254,0.6354526713671403,11.928946814140327,id13,20260328_102218.jpg,yes
78414,0.5363144539665821,0.398834228515625,35.46296691894531,10.471044540405273,148.20779418945312,52.371639251708984,130.20628356933594,41.52397918701172,114.70521545410156,162.30404663085938,6.043308258056641,11.750371932983398,0.04538730328767822,9.0,63.0,82.0,0.22243476930140027,0.07939908689774786,0.02263626393246104,0.23416736807202795,166,0.09122095544163032,120,0.04511949396791389,74,0.09055780855459485,93,0.09336342999974494,39,0.045718876731195957,60,0.08763741168668861,15133.7060546875,0.2139796464916979,0.5841635827082728,10.59076034884688,id13,20260328_102222.jpg,yes
93839,0.7541206252260216,0.4772898356119792,34.544410705566406,8.74438762664795,138.37255859375,51.01084518432617,125.76042175292969,40.742462158203125,116.04969024658203,159.21115112304688,5.170807838439941,9.105232238769531,0.041070343886870066,8.0,62.0,80.0,0.1908481548183591,0.05922910516949243,0.01548396722045205,0.23913298308805508,213,0.10764181203977025,195,0.07608776734619935,97,0.120429672097955,170,0.14979912403158602,39,0.05156704568463006,79,0.10277176866761155,27065.234375,0.23184390285488976,0.612466824886439,12.660524784323194,id13,20260328_102223.jpg,yes
64985,0.559078082521766,0.3305308024088542,35.00680160522461,13.607057571411133,160.3500518798828,56.63480758666992,129.5103302001953,54.306640625,116.23385620117188,161.93458557128906,6.687289714813232,16.132402420043945,0.011987381703470032,8.0,74.0,79.0,0.25322766792336693,0.13378471955066554,0.04557974917288605,0.26646149111333384,157,0.1260752481341848,170,0.10326998538124182,62,0.11893513887820266,88,0.12213587751019465,14,0.009740709394475648,18,0.03522351311841194,30625.734375,0.24648765099638378,0.6381626682811179,11.323583540773642,id13,20260328_102233.jpg,yes
68516,0.7202581811683328,0.3484903971354167,41.357215881347656,18.34241485595703,132.2202606201172,43.17314529418945,100.10604858398438,36.845237731933594,116.5649185180664,150.38949584960938,6.703895092010498,11.402079582214355,0.20312043902154242,11.0,42.0,61.0,0.17143440948099714,0.04432541304220912,0.0018973670383560044,0.18080448362426293,70,0.027570202580419173,29,0.008640317590051958,76,0.08189328040165801,59,0.04352268083367389,46,0.09936365228559753,58,0.0824624905131648,5245.29736328125,0.14609726195341236,0.6367679320276785,8.659050843745801,id14,20260328_102251.jpg,yes
61136,0.7174239579421705,0.3109537760416667,40.77029800415039,18.821500778198242,137.66786193847656,44.119388580322266,91.80049133300781,35.56733322143555,117.6216812133789,149.65184020996094,6.733270645141602,11.135966300964355,0.07908597225857106,11.0,43.0,61.0,0.18951190787751898,0.023554043444124574,0.0013576288929599582,0.18691114891389687,49,0.028951845066736457,21,0.009274404606124052,57,0.0630397801622612,46,0.03856974613975399,38,0.1177538602460089,49,0.0813105208060717,5806.0966796875,0.13713687516356973,0.7270099581038577,7.547001820235354,id14,20260328_102254.jpg,yes
84627,0.7159886967410065,0.4304351806640625,39.669952392578125,19.102842330932617,119.61102294921875,39.5471076965332,154.92141723632812,43.06621551513672,113.98207092285156,156.7019805908203,8.327506065368652,16.136215209960938,0.022002434211303722,9.0,66.0,49.0,0.2840582792725726,0.17559407754026493,0.0974984343058362,0.1110402117527503,113,0.048885107589776315,69,0.021293440627695653,121,0.0902666997530339,99,0.05957909414253134,72,0.09298450849019817,98,0.11270634667422927,4547.6669921875,0.1505547874791733,0.5859642176972907,11.30283701716928,id14,20260328_102257.jpg,yes
64949,0.7466432151561135,0.3303476969401042,41.90455627441406,16.338146209716797,136.76675415039062,47.69041442871094,88.96394348144531,36.49858856201172,116.76709747314453,149.6298065185547,6.185637474060059,11.611855506896973,0.19696993025296772,12.0,51.0,65.0,0.2070855594389444,0.01239434017459853,6.158678347626599e-05,0.2216046436434741,77,0.033272259773052704,38,0.014257340374755578,84,0.06622118893285502,77,0.035766524503841476,59,0.097014580670988,75,0.0853438852022356,6314.755859375,0.17327441531047438,0.5791841719304192,11.225513711498927,id14,20260328_102307.jpg,yes
